更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV11,http://112.255.234.12:4000/rtp/239.253.254.169:8000
CCTV11,http://112.255.234.12:4000/rtp/239.253.254.239:8000
CCTV12,http://112.255.234.12:4000/rtp/239.253.254.235:8000
CCTV13,http://112.255.234.12:4000/rtp/239.253.254.175:8000
CCTV14,http://112.255.234.12:4000/rtp/239.253.254.236:8000
CCTV15,http://112.255.234.12:4000/rtp/239.253.254.170:8000
CCTV17,http://112.255.234.12:4000/rtp/239.253.254.168:8000
CCTV4K,http://112.255.234.12:4000/rtp/239.253.254.122:8000
CCTV4K,http://112.255.234.12:4000/rtp/239.253.254.181:8000
CCTV4,http://112.255.234.12:4000/rtp/239.253.254.186:8000
CCTV4,http://112.255.234.12:4000/rtp/239.253.254.187:8000
CGTN,http://112.255.234.12:4000/rtp/239.253.254.188:8000
CGTN,http://112.255.234.12:4000/rtp/239.253.254.189:8000
CCTV1,http://183.188.20.214:6001/rtp/226.0.2.153:9136
CCTV2,http://183.188.20.214:6001/rtp/226.0.2.154:9144
CCTV3,http://183.188.20.214:6001/rtp/226.0.2.208:9576
CCTV4,http://183.188.20.214:6001/rtp/226.0.2.156:9160
CCTV5,http://183.188.20.214:6001/rtp/226.0.2.209:9584
CCTV6,http://183.188.20.214:6001/rtp/226.0.2.210:9592
CCTV7,http://183.188.20.214:6001/rtp/226.0.2.159:9184
CCTV8,http://183.188.20.214:6001/rtp/226.0.2.211:9600
CCTV9,http://183.188.20.214:6001/rtp/226.0.2.161:9200
CCTV10,http://183.188.20.214:6001/rtp/226.0.2.162:9208
CCTV11,http://183.188.20.214:6001/rtp/226.0.2.28:8136
CCTV12,http://183.188.20.214:6001/rtp/226.0.2.164:9224
CCTV13,http://183.188.20.214:6001/rtp/226.0.2.165:9232
CCTV14,http://183.188.20.214:6001/rtp/226.0.2.166:9240
CCTV15,http://183.188.20.214:6001/rtp/226.0.2.32:8168
CCTV16,http://183.188.20.214:6001/rtp/226.0.2.169:9264
CCTV5+,http://183.188.20.214:6001/rtp/226.0.2.168:9256
CCTV17,http://183.188.20.214:6001/rtp/226.0.2.170:9272
电视指南,http://183.188.20.214:6001/rtp/226.0.2.218:9656
怀旧剧场,http://183.188.20.214:6001/rtp/226.0.2.224:9704
女性时尚,http://183.188.20.214:6001/rtp/226.0.2.226:9720
央视文化精品,http://183.188.20.214:6001/rtp/226.0.2.219:9664
世界地理,http://183.188.20.214:6001/rtp/226.0.2.222:9688
兵器科技,http://183.188.20.214:6001/rtp/226.0.2.223:9696
风云音乐,http://183.188.20.214:6001/rtp/226.0.2.220:9672
风云剧场,http://183.188.20.214:6001/rtp/226.0.2.227:9728
第一剧场,http://183.188.20.214:6001/rtp/226.0.2.221:9680
风云足球,http://183.188.20.214:6001/rtp/226.0.2.225:9712
央视台球,http://183.188.20.214:6001/rtp/226.0.2.216:9640
高尔夫网球,http://183.188.20.214:6001/rtp/226.0.2.217:9648
老故事,http://183.188.20.214:6001/rtp/226.0.2.112:8808
CCTV1,http://121.33.114.181:54321/rtp/239.77.0.14:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.0.30:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.1.17:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.1.144:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.0.119:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.0.86:5146
CCTV1,http://121.33.114.181:54321/rtp/239.77.0.129:5146
CCTV2,http://121.33.114.181:54321/rtp/239.77.0.31:5146
